ИВАНОВА НАТАЛИЯ ИГОРЕВНА;4521 128373;406637080 72;частые позывы, боль при мочеиспускании;Уролог;2025-11-10T12:15;общий анализ мочи, УЗИ почек и мочевого пузыря, бактериологический посев мочи;2025-11-11T09:05;3690;5112 2346 4553 6676
КУЗНЕЦОВА АНТОНИНА ВЛАДИМИРОВНА;4614 540046;785447209 47;депрессия;Психотерапевт;2025-03-18T19:35;психодиагностика;2025-03-21T09:50;5000;4377 7390 7192 4524
СМИРНОВА ВИКТОРИЯ АНТОНОВНА;4014 424187;167599363 39;отеки, изменение цвета мочи, боли в пояснице, повышенное давление;Нефролог;2025-01-02T15:20;биохимический анализ крови, общий анализ мочи;2025-01-05T10:15;1140;5112 2340 6967 3719
КИСЕЛЕВ МИХАИЛ ВЛАДИМИРОВИЧ;6617 600541;479430364 17;головная боль, повышение температуры, кашель;Терапевт;2025-05-23T20:20;общий анализ мочи, биохимический анализ крови, общий анализ крови;2025-05-25T11:55;1990;2200 5618 4567 4818
АБРАМОВ ВИКТОР ВИКТОРОВИЧ;4120 805948;606882506 11;кашель, головная боль, повышение температуры, слабость;Терапевт;2025-03-29T15:15;биохимический анализ крови;2025-04-01T11:05;850;2200 5633 1467 9139
ТИТОВА ВАЛЕНТИНА МИХАЙЛОВНА;4913 549216;451700967 70;повышение температуры, слабость, головная боль, кашель, одышка;Терапевт;2025-12-23T16:30;рентген грудной клетки, общий анализ мочи;2025-12-25T12:15;1490;2200 7082 9928 7519
ПОЛЯКОВА МАРИЯ БОРИСОВНА;8623 346595;048439220 72;потеря аппетита;Педиатр;2025-02-12T10:40;биохимический анализ крови, общий анализ мочи;2025-02-14T11:30;1140;4986 2981 5892 4016
КОМАРОВА ТАТЬЯНА ВЯЧЕСЛАВОВНА;6621 670439;487602095 14;депрессия;Психиатр;2025-02-17T16:00;психодиагностика;2025-02-19T11:30;5000;4986 2980 5136 5979
ЖУРАВЛЕВА ЮЛИЯ АНАТОЛЬЕВНА;4023 481069;917651439 28;кашель, слабость, головная боль, одышка, повышение температуры;Терапевт;2025-04-01T09:30;общий анализ крови, рентген грудной клетки;2025-04-03T12:05;2050;4986 2914 9974 1869
ВОЛКОВ АНДРЕЙ ВАСИЛЬЕВИЧ;4915 454673;663473585 28;избыток веса у детей, проблемы с половым созреванием, опережение в росте;Детский эндокринолог;2025-01-04T15:10;анализ гормонов щитовидной железы;2025-01-05T10:05;1500;5389 9476 5475 2045
ЗАЙЦЕВА ЕВГЕНИЯ ВЛАДИМИРОВНА;8609 264955;127358690 84;припухлость, кровотечение, боль в животе;Хирург;2025-02-05T18:30;биохимический анализ крови;2025-02-08T12:30;850;5389 9485 9228 1730
ВОРОБЬЕВ АЛЕКСЕЙ ИВАНОВИЧ;8616 911252;537569539 42;головокружение, заложенность носа, снижение слуха;Оториноларинголог (ЛОР);2025-08-21T20:45;аудиометрия;2025-08-23T12:35;1200;2200 5610 7231 8755
БЕЛОВА ДАРЬЯ ИГОРЕВНА;2810 969373;343731736 73;ощущение песка, слезотечение;Офтальмолог;2025-03-04T10:05;томография глаза;2025-03-06T11:20;400;5389 9478 2284 3847
СМИРНОВА ЕКАТЕРИНА НИКОЛАЕВНА;4521 119995;208332102 19;головная боль, кашель;Терапевт;2025-10-16T09:40;биохимический анализ крови, общий анализ крови, рентген грудной клетки;2025-10-19T12:35;2900;5211 9495 5752 9445
НОВИКОВА ВАЛЕНТИНА ВИКТОРОВНА;4025 836624;724051106 44;лихорадка;Педиатр;2025-08-09T18:45;общий анализ мочи, мазок из носа/горла, общий анализ крови;2025-08-11T09:45;2040;4306 4312 7676 8118
КОМАРОВА ЛЮДМИЛА СТАНИСЛАВОВНА;2816 604496;124174877 54;припухлость, утренняя скованность;Ревматолог;2025-11-19T11:30;ревматоидный фактор;2025-11-21T09:55;900;4306 4393 6842 6722
ЖУРАВЛЕВ АЛЕКСАНДР СЕРГЕЕВИЧ;4018 443296;932907714 26;слабость, повышение температуры, одышка;Терапевт;2025-07-29T10:55;биохимический анализ крови, общий анализ крови;2025-07-30T10:05;1700;5389 9428 4027 7519
БАРАНОВА ТАМАРА ВЛАДИМИРОВНА;7812 247980;771919181 39;слабость, кашель, повышение температуры;Терапевт;2025-03-06T14:45;общий анализ крови, биохимический анализ крови, рентген грудной клетки;2025-03-09T10:00;2900;2200 7089 4363 6434
МОРОЗОВ ИГОРЬ НИКОЛАЕВИЧ;7808 355603;431435750 56;деформации, боль в суставах;Травматолог-ортопед;2025-10-17T18:40;рентген сустава;2025-10-20T09:25;1500;4986 2916 5637 7671
БАРАНОВ АЛЕКСАНДР ГЕННАДЬЕВИЧ;4913 775389;996264274 75;сыпь, лихорадка, кашель, насморк;Педиатр;2025-01-21T11:25;биохимический анализ крови, общий анализ мочи;2025-01-23T10:25;1140;4986 2979 6139 1134
СИДОРОВ МИХАИЛ АЛЕКСАНДРОВИЧ;7809 407936;697461288 61;опережение в росте, отставание в росте;Детский эндокринолог;2025-01-03T11:25;общий анализ крови;2025-01-04T10:30;850;4306 4396 9490 8919
СЕМЕНОВА ЕЛЕНА ВЛАДИМИРОВНА;4015 765980;497626638 57;боль после травмы, деформации, отеки, нарушение движений, боль в суставах;Травматолог-ортопед;2025-12-25T14:25;МРТ сустава, рентген сустава, общий анализ крови;2025-12-28T12:35;8850;4377 7390 6444 1010
ВОЛКОВ АЛЕКСАНДР ПЕТРОВИЧ;3518 173164;200727456 25;слабость, анемия, кровотечения;Гематолог;2025-06-18T17:00;коагулограмма;2025-06-21T11:00;800;5112 2364 4998 2257
СЕРГЕЕВА ЕКАТЕРИНА ВЛАДИМИРОВНА;5811 916848;773300995 06;боль в животе, высокая температура;Хирург;2025-08-02T09:30;общий анализ крови, биохимический анализ крови, УЗИ органов брюшной полости;2025-08-05T12:15;4200;2200 7087 6074 6033
